TeamID,TeamName,ProjectName,ProjectDomain,ProblemStatement,Solution,TechStack,ProjectStatus,MemberID,MemberName,Role,Responsibilities
T004,Code Commanders,Smart Traffic Monitoring,Transportation,Traffic congestion in urban areas,Real-time traffic monitoring and alerts,"React, FastAPI, OpenCV, PostgreSQL",Ongoing,M013,Member_13,Frontend Developer,"Build UI, pages and user experience"
T004,Code Commanders,Smart Traffic Monitoring,Transportation,Traffic congestion in urban areas,Real-time traffic monitoring and alerts,"React, FastAPI, OpenCV, PostgreSQL",Ongoing,M014,Member_14,Backend Developer,"Develop APIs, authentication and database integration"
T004,Code Commanders,Smart Traffic Monitoring,Transportation,Traffic congestion in urban areas,Real-time traffic monitoring and alerts,"React, FastAPI, OpenCV, PostgreSQL",Ongoing,M015,Member_15,Data Analyst,"Analyze data, generate reports and insights"
T004,Code Commanders,Smart Traffic Monitoring,Transportation,Traffic congestion in urban areas,Real-time traffic monitoring and alerts,"React, FastAPI, OpenCV, PostgreSQL",Ongoing,M016,Member_16,Project Manager,"Manage planning, tasks and team coordination"
T005,Vision Crafters,Crop Disease Detection,Agriculture,Farmers cannot detect diseases early,AI-based crop disease identification,"Python, TensorFlow, React",Completed,M017,Member_17,Frontend Developer,"Build UI, pages and user experience"
T005,Vision Crafters,Crop Disease Detection,Agriculture,Farmers cannot detect diseases early,AI-based crop disease identification,"Python, TensorFlow, React",Completed,M018,Member_18,Backend Developer,"Develop APIs, authentication and database integration"
T005,Vision Crafters,Crop Disease Detection,Agriculture,Farmers cannot detect diseases early,AI-based crop disease identification,"Python, TensorFlow, React",Completed,M019,Member_19,Data Analyst,"Analyze data, generate reports and insights"
T005,Vision Crafters,Crop Disease Detection,Agriculture,Farmers cannot detect diseases early,AI-based crop disease identification,"Python, TensorFlow, React",Completed,M020,Member_20,Project Manager,"Manage planning, tasks and team coordination"
T006,Insight Hunters,Retail Sales Analytics Platform,Retail,Businesses lack sales insights,Analytics dashboard for sales trends,"Power BI, Python, PostgreSQL",Ongoing,M021,Member_21,Frontend Developer,"Build UI, pages and user experience"
T006,Insight Hunters,Retail Sales Analytics Platform,Retail,Businesses lack sales insights,Analytics dashboard for sales trends,"Power BI, Python, PostgreSQL",Ongoing,M022,Member_22,Backend Developer,"Develop APIs, authentication and database integration"
T006,Insight Hunters,Retail Sales Analytics Platform,Retail,Businesses lack sales insights,Analytics dashboard for sales trends,"Power BI, Python, PostgreSQL",Ongoing,M023,Member_23,Data Analyst,"Analyze data, generate reports and insights"
T006,Insight Hunters,Retail Sales Analytics Platform,Retail,Businesses lack sales insights,Analytics dashboard for sales trends,"Power BI, Python, PostgreSQL",Ongoing,M024,Member_24,Project Manager,"Manage planning, tasks and team coordination"
T007,Digital Mavericks,Event Management System,Events,Manual event management is inefficient,Online event planning and registration,"React, Node.js, MySQL",Completed,M025,Member_25,Frontend Developer,"Build UI, pages and user experience"
T007,Digital Mavericks,Event Management System,Events,Manual event management is inefficient,Online event planning and registration,"React, Node.js, MySQL",Completed,M026,Member_26,Backend Developer,"Develop APIs, authentication and database integration"
T007,Digital Mavericks,Event Management System,Events,Manual event management is inefficient,Online event planning and registration,"React, Node.js, MySQL",Completed,M027,Member_27,Data Analyst,"Analyze data, generate reports and insights"
T007,Digital Mavericks,Event Management System,Events,Manual event management is inefficient,Online event planning and registration,"React, Node.js, MySQL",Completed,M028,Member_28,Project Manager,"Manage planning, tasks and team coordination"
T008,AI Pioneers,Resume Screening Assistant,HR Tech,Recruiters spend time reviewing resumes,AI-powered resume screening,"React, FastAPI, LLM, PostgreSQL",Ongoing,M029,Member_29,Frontend Developer,"Build UI, pages and user experience"
T008,AI Pioneers,Resume Screening Assistant,HR Tech,Recruiters spend time reviewing resumes,AI-powered resume screening,"React, FastAPI, LLM, PostgreSQL",Ongoing,M030,Member_30,Backend Developer,"Develop APIs, authentication and database integration"
T008,AI Pioneers,Resume Screening Assistant,HR Tech,Recruiters spend time reviewing resumes,AI-powered resume screening,"React, FastAPI, LLM, PostgreSQL",Ongoing,M031,Member_31,Data Analyst,"Analyze data, generate reports and insights"
T008,AI Pioneers,Resume Screening Assistant,HR Tech,Recruiters spend time reviewing resumes,AI-powered resume screening,"React, FastAPI, LLM, PostgreSQL",Ongoing,M032,Member_32,Project Manager,"Manage planning, tasks and team coordination"
T009,Cyber Guardians,Cyber Threat Monitoring Dashboard,Cybersecurity,Organizations need threat visibility,Centralized security monitoring dashboard,"Python, ELK Stack, React",Completed,M033,Member_33,Frontend Developer,"Build UI, pages and user experience"
T009,Cyber Guardians,Cyber Threat Monitoring Dashboard,Cybersecurity,Organizations need threat visibility,Centralized security monitoring dashboard,"Python, ELK Stack, React",Completed,M034,Member_34,Backend Developer,"Develop APIs, authentication and database integration"
T009,Cyber Guardians,Cyber Threat Monitoring Dashboard,Cybersecurity,Organizations need threat visibility,Centralized security monitoring dashboard,"Python, ELK Stack, React",Completed,M035,Member_35,Data Analyst,"Analyze data, generate reports and insights"
T009,Cyber Guardians,Cyber Threat Monitoring Dashboard,Cybersecurity,Organizations need threat visibility,Centralized security monitoring dashboard,"Python, ELK Stack, React",Completed,M036,Member_36,Project Manager,"Manage planning, tasks and team coordination"
T010,Market Explorers,Export Market Intelligence Platform,Business,MSMEs struggle to identify export markets,AI-driven export opportunity analysis,"React, FastAPI, Supabase, LLM",Ongoing,M037,Member_37,Frontend Developer,"Build UI, pages and user experience"
T010,Market Explorers,Export Market Intelligence Platform,Business,MSMEs struggle to identify export markets,AI-driven export opportunity analysis,"React, FastAPI, Supabase, LLM",Ongoing,M038,Member_38,Backend Developer,"Develop APIs, authentication and database integration"
T010,Market Explorers,Export Market Intelligence Platform,Business,MSMEs struggle to identify export markets,AI-driven export opportunity analysis,"React, FastAPI, Supabase, LLM",Ongoing,M039,Member_39,Data Analyst,"Analyze data, generate reports and insights"
T010,Market Explorers,Export Market Intelligence Platform,Business,MSMEs struggle to identify export markets,AI-driven export opportunity analysis,"React, FastAPI, Supabase, LLM",Ongoing,M040,Member_40,Project Manager,"Manage planning, tasks and team coordination"
